name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
도봉1동,37.67945195,127.0434263,2710,8013,1677,1016,91,492,337,23465,3,2,3,2,3,1,4,4,4,99.38,101.24,98.73
도봉2동,37.68399279,127.049279,35210,11644,2429,745,81,346,218,29427,1,2,2,1,1,2,2,1,2,90.45,84.92,94.56
방학1동,37.66450271,127.0400176,45465,10582,2224,1141,129,774,488,30900,1,3,4,4,4,4,5,1,5,97.52,94.28,99.93
쌍문1동,37.6475142,127.0255815,18190,7319,1131,872,51,270,128,22294,1,3,5,3,3,3,2,1,1,104.57,109.5,101.33
방학3동,37.65850943,127.0271855,11533,3430,697,285,38,161,88,29978,2,1,1,2,3,5,3,2,2,86.32,84.15,88.8
창2동,37.64351873,127.0346175,29413,13422,3430,889,89,326,150,31781,2,2,2,3,3,5,1,1,4,104.24,104.24,103.46
쌍문2동,37.65759465,127.0380012,39081,6418,1340,798,93,316,175,20781,5,2,2,2,2,4,3,1,3,90.98,91.38,91.83
창4동,37.65228805,127.0517148,30598,14676,881,275,62,412,204,28955,4,2,5,5,5,4,4,3,4,92.97,89.49,95.54
답십리 1동,37.57129304,127.0510656,31451,18802,3372,630,139,537,251,25094,2,3,4,3,3,3,5,1,3,108.48,111.72,105.81
용신동,37.57284432,127.037211,20798,61124,7421,1164,168,1114,729,33160,2,4,3,5,4,5,4,1,5,112.76,101.74,117.79
이문2동,37.59648341,127.0681134,32887,8519,1160,731,12,95,117,22492,2,3,4,4,2,4,3,3,2,90.82,90.22,92.07
장안1동,37.57234374,127.0685668,31050,49629,5632,903,313,1491,546,39541,4,3,5,4,4,3,5,2,5,116.22,119.22,112.42
장안2동,37.57679472,127.0744033,28845,23530,4659,721,44,239,533,31407,4,3,3,2,3,2,5,1,4,96.89,94.94,98.12
전농1동,37.58637427,127.0542279,25437,19320,3559,1410,17,830,497,30215,1,2,1,1,2,1,2,1,3,112.27,110.68,111.98
