name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling
중곡4동,37.56533619,127.0872621,13701,11387,1640,1079,86,300,205,31621,2,2,1,1,3,3,2,2,1
화양동,37.54661623,127.071315,21116,24166,5972,315,172,1169,900,24581,5,5,5,5,5,5,5,4,4
구로2동,37.49453161,126.8870136,21064,32246,,775,178,862,605,35832,2,2,1,1,1,1,1,1,1
가리봉동,37.47920893,126.8926625,43938,5182,,587,89,369,257,16391,5,4,2,2,2,3,3,1,4
개봉2동,37.49183145,126.8564507,43329,14913,,592,97,296,161,34449,4,3,3,3,2,3,2,1,2
고척2동,37.50659936,126.8583044,29814,11397,,734,102,303,182,30256,3,2,3,3,3,3,2,2,2
구로3동,37.48666092,126.891399,27530,68500,,290,119,1272,751,27740,1,3,4,3,3,2,4,1,3
구로4동,37.48925157,126.8906987,62285,12302,,662,133,553,406,27737,4,5,4,4,5,4,5,3,5
구로5동,37.50227003,126.8838942,34047,32255,,312,136,882,511,34472,4,4,5,5,5,5,4,2,4
오류1동,37.49481449,126.8388404,37192,12535,,596,101,353,218,21701,2,4,4,3,4,4,3,2,2
오류2동,37.48387283,126.8425731,9968,20401,,955,83,347,193,45700,1,1,2,1,1,1,1,1,1
가산동,37.47993628,126.8880577,9321,131024,10947,468,148,1652,1084,23199,3,1,4,4,2,3,5,3,3
시흥1동,37.45415629,126.899796,22409,26408,4247,1223,174,157,616,37913,2,3,3,2,3,2,2,2,2
독산1동,37.46466496,126.8948129,17608,40395,6143,1258,126,714,429,38892,1,2,1,1,1,1,4,1,4
독산4동,37.4695342,126.9034607,32471,6612,1120,743,78,240,212,18957,1,4,5,5,5,2,3,2,5
시흥5동,37.45104173,126.9125935,16465,7113,1129,1240,83,243,183,22133,2,2,2,3,4,4,1,1,1
하계1동,37.64222205,127.071412,19299,14308,2551,2539,47,364,170,30073,1,1,1,1,1,1,1,1,1
"상계6,7동",37.65500498,127.0669157,32967,23534,4191,734,104,545,327,36244,2,5,5,5,5,4,4,1,4
"상계3,4동",37.67150378,127.0778753,5369,11252,2310,2014,130,378,241,28192,3,4,2,2,3,3,5,1,2
"중계2,3동",37.64201919,127.0683544,43936,12260,2055,4120,67,365,168,38969,4,3,4,4,4,5,3,1,5
상계9동,37.66458604,127.0636194,28765,6772,1130,298,36,135,61,23027,2,4,3,3,3,4,2,1,2
중계1동,37.65243622,127.0773389,46608,15671,2806,607,58,280,123,28895,1,2,2,3,3,3,3,1,2
상계1동,37.67967996,127.0550485,7545,22639,3597,1049,127,591,354,42047,2,2,3,2,2,2,4,1,3
월계3동,37.63368097,127.0592879,28991,13857,2958,1642,48,209,88,33490,2,5,4,4,4,4,5,1,3
공릉1동,37.62256853,127.0745984,28525,20633,3303,1789,147,711,431,40272,5,2,4,4,4,3,4,2,4
도봉1동,37.67945195,127.0434263,2710,8013,1677,1016,91,492,337,23465,3,2,3,2,3,1,4,4,4
